央视,#genre#
CCTV1-综合,http://221.7.49.226:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://110.181.233.200:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://110.181.233.232:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://111.196.134.132:20000/rtp/239.3.1.129:8008
CCTV2-财经,http://221.7.49.226:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://110.181.233.200:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://111.196.134.132:20000/rtp/239.3.1.60:8084
CCTV3-综艺,http://221.7.49.226:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://110.181.233.200:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://111.196.134.132:20000/rtp/239.3.1.172:8001
CCTV4-国际,http://111.196.134.132:20000/rtp/239.3.1.105:8092
CCTV5-体育,http://iptv.cqshushu.com/migu.php?pid=cctv5&token=a569c1130aaf6d7e7a587728cadc3f78
CCTV5-体育,http://221.7.49.226:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://110.181.233.200:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://111.196.134.132:20000/rtp/239.3.1.174:8001
CCTV6-电影,http://221.7.49.226:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://hczn.x3322.net:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-国防,http://111.196.134.132:20000/rtp/239.3.1.61:8104
CCTV7-国防,https://stream1.freetv.fun/0e7a6e3465c41dffe831bd4ff05b723b42f040b011aa244a7a9636b16d9c3daa.ctv
CCTV8-电视剧,http://221.7.49.226:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://110.181.233.200:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
